CT&人力配置汇总表,,,,,,,,,,,,,,,,,,,,,,,,
P/N,Line,Assembly Line,,,Piston,,,Cartridge,,,Washing Machine,,,MGU,,,AA,,Customer,Statistic Group,Vehicle,Channel,Product Description,
,,CT,OP,Machine Station,CT,OP,Machine Station,CT,OP,Machine Station,CT,OP,Machine Station,CT,OP,Machine Station,CT,OP,,,,,,
02048053591MC,Line1,14,23,27,,,,,,,,,,,,,,,BYD,ZOH,E6a,OEM,?48x2 (x) Cast Iron,
02048053601MC,Line1,14,23,27,,,,,,,,,,,,,,,BYD,ZOH,E6a,OEM,?48x2 (x) Cast Iron,
02048038721MC,Line1,14,23,27,,,,,,,,,,,,,,,BYD,ZOH+BIR3plus,E6a,OEM,?48 (325x16) Cast Iron,
02048038731MC,Line1,14,23,27,,,,,,,,,,,,,,,BYD,ZOH+BIR3plus,E6a,OEM,?48 (325x16) Cast Iron,
0204A182421MC,Line1,14,23,27,,,,,,,,,,,,,,,BYD,ZOH,M6,OEM,?63 (322x28) Cast Iron,
0204A182411MC,Line1,14,23,27,,,,,,,,,,,,,,,BYD,ZOH,M6,OEM,?63 (322x28) Cast Iron,
02040060621MC,Line1,14,23,30,16,2,1,14,2,1,14,1,1,,,,,,BYD,ZOH+BIR3,M6,OEM,?42 (308x11) Cast Iron,
02040060631MC,Line1,14,23,30,16,2,1,14,2,1,14,1,1,,,,,,BYD,ZOH+BIR3,M6,OEM,?42 (308x11) Cast Iron,
0204A182411MC,Line1,14,23,27,,,,,,,,,,,,,,,BYD,ZOH,M6,OEM,?63 (322x28) Cast Iron,
0204A182411MC,Line1,14,23,27,,,,,,,,,,,,,,,BYD,ZOH,M6,OEM,?63 (322x28) Cast Iron,
02047499641MC,Line1,14,23,30,16,2,1,14,2,1,14,1,1,,,,,,BYD,ZOH+BIR3,S7,OEM,?42 (308x11) Cast Iron,
02047899101MC,Line1,14,22,27,,,,,,,,,,,,,,,BYD,ZOH,Tiger,OEM,?48x2 (300x28) Cast Iron,
02047899091MC,Line1,14,22,27,,,,,,,,,,,,,,,BYD,ZOH,Tiger,OEM,?48x2 (300x28) Cast Iron,
02047906321MC,Line1,14,22,27,,,,,,,,,,,,,,,BYD,ZOH+BIR3plus,Tiger,OEM,?48 (280x16) Cast Iron,
02047906331MC,Line1,14,22,27,,,,,,,,,,,,,,,BYD,ZOH+BIR3plus,Tiger,OEM,?48 (280x16) Cast Iron,
0204L76177,Line1,14,23,27,,,,,,,,,,,,,,,BYD,ZOH,S6DM,OEM,,
0204L76178,Line1,14,23,27,,,,,,,,,,,,,,,BYD,ZOH,S6DM,OEM,,
0204L76177H,Line1,14,23,27,,,,,,,,,,,,,,,BYD,ZOH,SAH,OEM,,
0204L76178H,Line1,14,23,27,,,,,,,,,,,,,,,BYD,ZOH,SAH,OEM,,
2.04E+12,Line2,9,19,22,,,,,,,,,,,,,,,JMC,ZOH,N350 pickup,OEM,?57 (281x26) Cast Iron,
2.04E+12,Line2,9,19,22,,,,,,,,,,,,,,,JMC,ZOH,N350 pickup,OEM,?57 (281x26) Cast Iron,
0204A182392E3,Line1,10,23,28,,,,,,,,,,,,,,,JMC,ZOH,N350 pickup,OEM,?63 (304x28) Cast Iron,
0204A182402E3,Line1,10,23,28,,,,,,,,,,,,,,,JMC,ZOH,N350 pickup,OEM,?63 (304x28) Cast Iron,
0204A182402E3,Line1,10,23,28,,,,,,,,,,,,,,,JMC,ZOH,N350 pickup,OEM,?63 (304x28) Cast Iron,
0204A182392E3,Line1,10,23,28,,,,,,,,,,,,,,,JMC,ZOH,N350 pickup,OEM,?63 (304x28) Cast Iron,
0204A182392E3,Line1,10,23,28,,,,,,,,,,,,,,,JMC,ZOH,N350 pickup,OEM,?63 (304x28) Cast Iron,
0204A182402E3,Line1,10,23,28,,,,,,,,,,,,,,,JMC,ZOH,N350 pickup,OEM,?63 (304x28) Cast Iron,
2.05E+12,Line1,10,23,27,16,2,1,14,2,1,14,1,1,,,,,,JMC,ZOHe+noPKB,N351,OEM,?44 (x) Cast Iron,
2.05E+12,Line1,10,23,27,16,2,1,14,2,1,14,1,1,,,,,,JMC,ZOHe+noPKB,N351,OEM,?44 (x) Cast Iron,
0204L664802E3,Line1,10,23,27,16,2,1,14,2,1,14,1,1,,,,,,JMC,ZOHe+noPKB(new pad),N351,OEM,?44 (x) Cast Iron,
0204L664812E3,Line1,10,23,27,16,2,1,14,2,1,14,1,1,,,,,,JMC,ZOHe+noPKB(new pad),N351,OEM,?44 (x) Cast Iron,
204804480,Line1,14,23,27,,,,,,,,,,,,,,,JMC,ZOH,N330 SUV,OEM,?57 (292x26) Cast Iron,
204804481,Line1,14,23,27,,,,,,,,,,,,,,,JMC,ZOH,N330 SUV,OEM,?57 (292x26) Cast Iron,
0204L60899,Line1,10,22,30,16,2,1,14,2,1,14,1,1,,,,,,JMC,ZOH+BIR3,N330 SUV,OEM,?38 (284x9) Cast Iron,
0204L60900,Line1,10,22,30,16,2,1,14,2,1,14,1,1,,,,,,JMC,ZOH+BIR3,N330 SUV,OEM,?38 (284x9) Cast Iron,
0204L67133,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,JMC,ZOHe+APB-Mi 38 (268*12) Cast Iron gen1,N330 SUV,OEM,,
0204L67134,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,JMC,ZOHe+APB-Mi 38 (268*12) Cast Iron gen1,N330 SUV,OEM,,
0204A182392E3,Line1,10,23,28,,,,,,,,,,,,,,,JMC,ZOH,N350 pickup,OEM,?63 (304x28) Cast Iron,
0204L664802E3,Line1,10,23,27,16,2,1,14,2,1,14,1,1,,,,,,JMC,ZOHe+noPKB(new pad),N351,OEM,?44 (x) Cast Iron,
2.04E+12,Line1,14,23,27,,,,,,,,,,,,,,,Ford,ZOH,V348,OEM,?48x2 (300x28) Cast Iron,
2.04E+12,Line1,14,23,27,,,,,,,,,,,,,,,Ford,ZOH,V348,OEM,?48x2 (300x28) Cast Iron,
0204L65474,Line1,14,22,27,,,,,,,,,,,,,,,Ford,ZOH,V362,OEM,?48x2 (300x28) Cast Iron,
0204L65475,Line1,14,22,27,,,,,,,,,,,,,,,Ford,ZOH,V362,OEM,?48x2 (300x28) Cast Iron,
0204L65476,Line1,14,22,27,,,,,,,,,,,,,,,Ford,ZOH,V362,OEM,?48x2 (300x28) Cast Iron,
0204L65477,Line1,14,22,27,,,,,,,,,,,,,,,Ford,ZOH,V362,OEM,?48x2 (300x28) Cast Iron,
0204L65522,Line1,14,22,27,,,,,,,,,,,,,,,Ford,ZOH,V362,OEM,?48x2 (300x28) Cast Iron,
0204L65523,Line1,14,22,27,,,,,,,,,,,,,,,Ford,ZOH,V362,OEM,?48x2 (300x28) Cast Iron,
0204L66072,Line1,14,22,27,16,2,1,,,,,,,,,,,,Ford,ZOH+BIR3plus (15''),V362,OEM,?48 (280x16) Cast Iron,
0204L66073,Line1,14,22,27,16,2,1,,,,,,,,,,,,Ford,ZOH+BIR3plus (15''),V362,OEM,?48 (280x16) Cast Iron,
0204L66089,Line1,14,22,27,16,2,1,14,2,1,14,1,1,,,,,,Ford,ZOH+BIR3plus (16''),V362,OEM,?48 (280x16) Cast Iron,
0204L66090,Line1,14,22,27,16,2,1,14,2,1,14,1,1,,,,,,Ford,ZOH+BIR3plus (16''),V362,OEM,?48 (280x16) Cast Iron,
0204L78273,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,DFM,APB-Mi 38 Gen2,S50,OEM,,
0204L78274,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,DFM,APB-Mi 38 Gen2,S50,OEM,,
0204L77955,Line1,10,22,27,,,,,,,,,,,,,,,DFM,ZOH 54 (296*28) Cast Iron,S500,OEM,,
0204L77956,Line1,10,22,27,,,,,,,,,,,,,,,DFM,ZOH 54 (296*28) Cast Iron,S500,OEM,,
0204L78071,Line1,10,22,30,16,2,1,14,2,1,14,1,1,,,,,,DFM,ZOHe 38,S500,OEM,,
0204L78072,Line1,10,22,30,16,2,1,14,2,1,14,1,1,,,,,,DFM,ZOHe 38,S500,OEM,,
0204L82624,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,DFM,APB-Mi 38 Gen2,SX5,OEM,,
0204L82625,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,DFM,APB-Mi 38 Gen2,SX5,OEM,,
0204L81098,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,DFM,APB-Mi 42 Gen2,CM7A,OEM,,
0204L81099,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,DFM,APB-Mi 42 Gen2,CM7A,OEM,,
0204L7035298H,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,GAC,ZOHe+APB-Mi gen1,A28,OEM,?38 (x) Cast Iron,
